hst_idx,total,cos,shad,hst_abs,block,atm,spil,rec_refl,rec_abs
217,100001,18330.383302,0,4083.5308349,-755.314136900008,0,11493.1,6685,60164.3
218,100003,17541.126218,0,4123.0936891,1839.2100929,0,4811.77,7168.8,64519
219,100001,18375.683755,0,4081.26581225,338.650432749993,0,15596.3,6160.9,55448.2
220,100001,18375.583754,0,4081.2708123,-252.054566300001,0,15939.9,6185.60000000001,55670.7
221,100001,18017.080169,0,4099.19599155,3418.68383945001,0,8770.54,6569.6,59125.9
222,100001,18027.380272,0,4098.6809864,3131.49874159999,0,7958.74,6678.5,60106.2
223,100001,18706.887067,0,4064.70564665,1538.80728634999,0,12088.5,6360.2,57241.9
224,100001,18702.18702,0,4064.940649,50.4723309999827,0,11670.6,6551.3,58961.5
225,100001,17217.672175,0,4139.16639125,7343.87143375,0,7805.09,6349.5,57145.7
226,100001,17214.772146,0,4139.3113927,6264.84646129999,0,7158.97,6522.3,58700.8
227,100001,18183.681835,0,4090.86590825,130.65225675,0,13387.2,6420.9,57787.7
228,100001,18179.18179,0,4091.0909105,716.027299499998,0,12598.2,6441.6,57974.9
229,100011,9252.517665,0,4537.92411675,12802.79671825,0,26.7615,7339.10000000001,66051.9
230,100011,9253.917819,0,4537.85410905,12496.05427195,0,28.8738,7369.5,66324.8
231,100001,18308.283081,0,4084.63584595,-427.018926950004,0,16128.4,6190.7,55716
232,100001,18312.483123,0,4084.42584385,295.29103315001,0,17027.6,6028.1,54253.1
233,100003,17854.335614,0,4107.4332193,-519.638833299992,0,5374.17,7318.59999999999,65868.1
234,100003,17854.835629,0,4107.40821855,1163.06615244999,0,5805.49,7107.2,63965
235,100002,18190.86381,0,4090.5568095,1477.81938049999,0,6400.96,6984.2,62857.6
236,100002,18193.663866,0,4090.4168067,-111.920672699998,0,6897.04,7093.3,63839.5
237,100002,18394.067874,0,4080.3966063,330.955519700001,0,8578.28,6861.8,61756.5
238,100002,18404.568084,0,4079.8715958,-191.129679800011,0,8411.49,6929.7,62367.5
239,100001,18083.380832,0,4095.8809584,-1834.36179039999,0,13459.4,6619.6,59577.1
